,Date,Close,Vector,Pattern
0,2010-09-09 16:00:00,101.32,0.0,0
1,2010-09-10 16:00:00,101.78,0.454,0
2,2010-09-13 16:00:00,103.06,1.2576,0
3,2010-09-14 16:00:00,103.04,-0.0194,0
4,2010-09-15 16:00:00,103.3,0.2523,0
5,2010-09-16 16:00:00,103.26,-0.0387,0
6,2010-09-17 16:00:00,103.36,0.0968,0
7,2010-09-20 16:00:00,105.04,1.6254,0
8,2010-09-21 16:00:00,104.72,-0.3046,0
9,2010-09-22 16:00:00,104.16,-0.5348,0
10,2010-09-23 16:00:00,103.31,-0.8161,0
11,2010-09-24 16:00:00,104.84,1.481,0
12,2010-09-27 16:00:00,104.34,-0.4769,0
13,2010-09-28 16:00:00,105.02,0.6517,0
14,2010-09-29 16:00:00,104.52,-0.4761,0
15,2010-09-30 16:00:00,104.36,-0.1531,0
16,2010-10-01 16:00:00,104.72,0.345,0
17,2010-10-04 16:00:00,103.84,-0.8403,0
18,2010-10-05 16:00:00,106.12,2.1957,0
19,2010-10-06 16:00:00,105.82,-0.2827,0
20,2010-10-07 16:00:00,105.88,0.0567,0
21,2010-10-08 16:00:00,106.68,0.7556,0
22,2010-10-11 16:00:00,106.5,-0.1687,0
23,2010-10-12 16:00:00,107.12,0.5822,0
24,2010-10-13 16:00:00,107.76,0.5975,0
25,2010-10-14 16:00:00,107.36,-0.3712,0
26,2010-10-15 16:00:00,107.56,0.1863,0
27,2010-10-18 16:00:00,108.34,0.7252,0
28,2010-10-19 16:00:00,106.62,-1.5876,0
29,2010-10-20 16:00:00,107.76,1.0692,0
30,2010-10-21 16:00:00,107.92,0.1485,0
31,2010-10-22 16:00:00,108.18,0.2409,0
32,2010-10-25 16:00:00,108.5,0.2958,0
33,2010-10-26 16:00:00,108.48,-0.0184,0
34,2010-10-27 16:00:00,108.14,-0.3134,0
35,2010-10-28 16:00:00,108.22,0.074,0
36,2010-10-29 16:00:00,108.3,0.0739,0
37,2010-11-01 16:00:00,108.36,0.0554,0
38,2010-11-02 16:00:00,109.2,0.7752,0
39,2010-11-03 16:00:00,109.66,0.4212,0
40,2010-11-04 16:00:00,111.72,1.8785,0
41,2010-11-05 16:00:00,112.16,0.3938,0
42,2010-11-08 16:00:00,112.02,-0.1248,0
43,2010-11-09 16:00:00,111.14,-0.7856,0
44,2010-11-10 16:00:00,111.56,0.3779,0
45,2010-11-11 16:00:00,111.2,-0.3227,0
46,2010-11-12 16:00:00,109.82,-1.241,0
47,2010-11-15 16:00:00,109.72,-0.0911,0
48,2010-11-16 16:00:00,107.96,-1.6041,0
49,2010-11-17 16:00:00,108.04,0.0741,11
50,2010-11-18 16:00:00,109.64,1.4809,0
51,2010-11-19 16:00:00,109.9,0.2371,0
52,2010-11-22 16:00:00,109.8,-0.091,0
53,2010-11-23 16:00:00,108.26,-1.4026,0
54,2010-11-24 16:00:00,109.66,1.2932,0
55,2010-11-26 16:00:00,109.04,-0.5654,0
56,2010-11-29 16:00:00,108.93,-0.1009,0
57,2010-11-30 16:00:00,108.18,-0.6885,0
58,2010-12-01 16:00:00,110.62,2.2555,0
59,2010-12-02 16:00:00,112.06,1.3018,0
60,2010-12-03 16:00:00,112.34,0.2499,0
61,2010-12-06 16:00:00,112.2,-0.1246,0
62,2010-12-07 16:00:00,112.24,0.0357,0
63,2010-12-08 16:00:00,112.7,0.4098,0
64,2010-12-09 16:00:00,113.12,0.3727,0
65,2010-12-10 16:00:00,113.8,0.6011,0
66,2010-12-13 16:00:00,113.86,0.0527,0
67,2010-12-14 16:00:00,113.92,0.0527,0
68,2010-12-15 16:00:00,113.42,-0.4389,0
69,2010-12-16 16:00:00,114.08,0.5819,0
70,2010-12-17 16:00:00,114.24,0.1403,0
71,2010-12-20 16:00:00,114.48,0.2101,0
72,2010-12-21 16:00:00,115.18,0.6115,0
73,2010-12-22 16:00:00,115.6,0.3646,0
74,2010-12-23 16:00:00,115.42,-0.1557,0
75,2010-12-27 16:00:00,114.98,-0.3812,0
76,2010-12-28 16:00:00,115.1,0.1044,0
77,2010-12-29 16:00:00,115.2,0.0869,0
78,2010-12-30 16:00:00,115.02,-0.1562,0
79,2010-12-31 16:00:00,115.14,0.1043,0
80,2011-01-03 16:00:00,116.22,0.938,0
81,2011-01-04 16:00:00,116.12,-0.086,0
82,2011-01-05 16:00:00,116.74,0.5339,0
83,2011-01-06 16:00:00,116.54,-0.1713,0
84,2011-01-07 16:00:00,116.31,-0.1974,0
85,2011-01-10 16:00:00,116.2,-0.0946,0
86,2011-01-11 16:00:00,116.58,0.327,0
87,2011-01-12 16:00:00,117.62,0.8921,0
88,2011-01-13 16:00:00,117.46,-0.136,0
89,2011-01-14 16:00:00,118.3,0.7151,0
90,2011-01-18 16:00:00,118.5,0.1691,0
