Date,Close
09.09.2010 16:00:00,"101,32"
10.09.2010 16:00:00,"101,78"
13.09.2010 16:00:00,"103,06"
14.09.2010 16:00:00,"103,04"
15.09.2010 16:00:00,"103,3"
16.09.2010 16:00:00,"103,26"
17.09.2010 16:00:00,"103,36"
20.09.2010 16:00:00,"105,04"
21.09.2010 16:00:00,"104,72"
22.09.2010 16:00:00,"104,16"
23.09.2010 16:00:00,"103,31"
24.09.2010 16:00:00,"104,84"
27.09.2010 16:00:00,"104,34"
28.09.2010 16:00:00,"105,02"
29.09.2010 16:00:00,"104,52"
30.09.2010 16:00:00,"104,36"
01.10.2010 16:00:00,"104,72"
04.10.2010 16:00:00,"103,84"
05.10.2010 16:00:00,"106,12"
06.10.2010 16:00:00,"105,82"
07.10.2010 16:00:00,"105,88"
08.10.2010 16:00:00,"106,68"
11.10.2010 16:00:00,"106,5"
12.10.2010 16:00:00,"107,12"
13.10.2010 16:00:00,"107,76"
14.10.2010 16:00:00,"107,36"
15.10.2010 16:00:00,"107,56"
18.10.2010 16:00:00,"108,34"
19.10.2010 16:00:00,"106,62"
20.10.2010 16:00:00,"107,76"
21.10.2010 16:00:00,"107,92"
22.10.2010 16:00:00,"108,18"
25.10.2010 16:00:00,"108,5"
26.10.2010 16:00:00,"108,48"
27.10.2010 16:00:00,"108,14"
28.10.2010 16:00:00,"108,22"
29.10.2010 16:00:00,"108,3"
01.11.2010 16:00:00,"108,36"
02.11.2010 16:00:00,"109,2"
03.11.2010 16:00:00,"109,66"
04.11.2010 16:00:00,"111,72"
05.11.2010 16:00:00,"112,16"
08.11.2010 16:00:00,"112,02"
09.11.2010 16:00:00,"111,14"
10.11.2010 16:00:00,"111,56"
11.11.2010 16:00:00,"111,2"
12.11.2010 16:00:00,"109,82"
15.11.2010 16:00:00,"109,72"
16.11.2010 16:00:00,"107,96"
17.11.2010 16:00:00,"108,04"
18.11.2010 16:00:00,"109,64"
19.11.2010 16:00:00,"109,9"
22.11.2010 16:00:00,"109,8"
23.11.2010 16:00:00,"108,26"
24.11.2010 16:00:00,"109,66"
26.11.2010 16:00:00,"109,04"
29.11.2010 16:00:00,"108,93"
30.11.2010 16:00:00,"108,18"
01.12.2010 16:00:00,"110,62"
02.12.2010 16:00:00,"112,06"
03.12.2010 16:00:00,"112,34"
06.12.2010 16:00:00,"112,2"
07.12.2010 16:00:00,"112,24"
08.12.2010 16:00:00,"112,7"
09.12.2010 16:00:00,"113,12"
10.12.2010 16:00:00,"113,8"
13.12.2010 16:00:00,"113,86"
14.12.2010 16:00:00,"113,92"
15.12.2010 16:00:00,"113,42"
16.12.2010 16:00:00,"114,08"
17.12.2010 16:00:00,"114,24"
20.12.2010 16:00:00,"114,48"
21.12.2010 16:00:00,"115,18"
22.12.2010 16:00:00,"115,6"
23.12.2010 16:00:00,"115,42"
27.12.2010 16:00:00,"114,98"
28.12.2010 16:00:00,"115,1"
29.12.2010 16:00:00,"115,2"
30.12.2010 16:00:00,"115,02"
31.12.2010 16:00:00,"115,14"
03.01.2011 16:00:00,"116,22"
04.01.2011 16:00:00,"116,12"
05.01.2011 16:00:00,"116,74"
06.01.2011 16:00:00,"116,54"
